plateforme,nom_acheteur,annee,nb_marches,date
marches.maximilien.fr,Commune de Lisses,2019,18,2020-08-31T18:20:23
marches.maximilien.fr,Commune de Lisses,2020,0,2020-08-31T18:20:24
marches.maximilien.fr,Commune de Lognes,2018,2,2020-08-31T18:20:25
marches.maximilien.fr,Commune de Lognes,2019,18,2020-08-31T18:20:26
marches.maximilien.fr,Commune de Lognes,2020,0,2020-08-31T18:20:27
marches.maximilien.fr,Commune de Longueville,2018,0,2020-08-31T18:20:28
marches.maximilien.fr,Commune de Longueville,2019,0,2020-08-31T18:20:29
marches.maximilien.fr,Commune de Longueville,2020,0,2020-08-31T18:20:30
marches.maximilien.fr,Commune de Marines,2018,0,2020-08-31T18:20:31
marches.maximilien.fr,Commune de Marines,2019,0,2020-08-31T18:20:32
marches.maximilien.fr,Commune de Marines,2020,0,2020-08-31T18:20:33
marches.maximilien.fr,Commune de Mériel,2018,0,2020-08-31T18:20:34
marches.maximilien.fr,Commune de Mériel,2019,0,2020-08-31T18:20:35
marches.maximilien.fr,Commune de Mériel,2020,0,2020-08-31T18:20:36
marches.maximilien.fr,Commune de Mondreville,2018,0,2020-08-31T18:20:37
marches.maximilien.fr,Commune de Mondreville,2019,0,2020-08-31T18:20:37
marches.maximilien.fr,Commune de Mondreville,2020,0,2020-08-31T18:20:39
marches.maximilien.fr,Commune de Montfermeil,2018,14,2020-08-31T18:20:39
marches.maximilien.fr,Commune de Montfermeil,2019,32,2020-08-31T18:20:41
marches.maximilien.fr,Commune de Montfermeil,2020,0,2020-08-31T18:20:45
marches.maximilien.fr,Commune de Montmorency,2018,1,2020-08-31T18:20:45
marches.maximilien.fr,Commune de Montmorency,2019,42,2020-08-31T18:20:46
marches.maximilien.fr,Commune de Montmorency,2020,0,2020-08-31T18:20:49
marches.maximilien.fr,Commune de Montsoult,2018,0,2020-08-31T18:20:50
marches.maximilien.fr,Commune de Montsoult,2019,0,2020-08-31T18:20:50
marches.maximilien.fr,Commune de Montsoult,2020,0,2020-08-31T18:20:51
marches.maximilien.fr,Commune de Neuilly-Plaisance,2018,10,2020-08-31T18:20:52
marches.maximilien.fr,Commune de Neuilly-Plaisance,2019,26,2020-08-31T18:20:53
marches.maximilien.fr,Commune de Neuilly-Plaisance,2020,0,2020-08-31T18:20:55
marches.maximilien.fr,Commune de Neuville-sur-Oise,2018,0,2020-08-31T18:20:56
marches.maximilien.fr,Commune de Neuville-sur-Oise,2019,0,2020-08-31T18:20:56
marches.maximilien.fr,Commune de Neuville-sur-Oise,2020,0,2020-08-31T18:20:57
marches.maximilien.fr,Commune de Noisy-le-Grand,2018,0,2020-08-31T18:20:58
marches.maximilien.fr,Commune de Noisy-le-Grand,2019,0,2020-08-31T18:20:59
marches.maximilien.fr,Commune de Noisy-le-Grand,2020,0,2020-08-31T18:21:00
marches.maximilien.fr,Commune de Pavillons-sous-Bois,2018,0,2020-08-31T18:21:01
marches.maximilien.fr,Commune de Pavillons-sous-Bois,2019,5,2020-08-31T18:21:02
marches.maximilien.fr,Commune de Pavillons-sous-Bois,2020,0,2020-08-31T18:21:03
marches.maximilien.fr,Commune de Pontault-Combault,2018,0,2020-08-31T18:21:04
